Team,Matches,Wins,Losses,Percentage,WinPercentage,Period1,Period2,Period3,Period4,Overtime,Score,Period1_Percentage,Period2_Percentage,Period3_Percentage,Period4_Percentage,Overtime_Percentage,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointPercentage,EffectiveFieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,PersonalFouls,Steals,Turnovers,Blocks,Points,PointsSecondChance,PointsFastBreak,PointsInThePaint,TimeLeading,TOR,PPP,Period1_Against,Period2_Against,Period3_Against,Period4_Against,Overtime_Against,Score_Against,FieldGoalsMade_Against,FieldGoalsAttempted_Against,FieldGoalPercentage_Against,ThreePointersMade_Against,ThreePointersAttempted_Against,ThreePointPercentage_Against,EffectiveFieldGoalPercentage_Against,FreeThrowsMade_Against,FreeThrowsAttempted_Against,FreeThrowPercentage_Against,OffensiveRebounds_Against,DefensiveRebounds_Against,TotalRebounds_Against,Assists_Against,PersonalFouls_Against,Steals_Against,Turnovers_Against,Blocks_Against,Points_Against,PointsSecondChance_Against,PointsFastBreak_Against,PointsInThePaint_Against,TOR_Against,PPP_Against
Adelaide,42,27,15,102.417235943248,64.2857142857143,25.6363636363636,25.2272727272727,24.9545454545455,23.2727272727273,13.2,92.8095238095238,103.771849126035,97.4539069359087,103.682719546742,94.9907235621521,98.5074626865672,32.727,70,46.753,10.068,28.386,35.468,53.945,17.068,21.455,79.555,11.818,29,40.818,21.432,16.318,6.091,11.386,3.455,,,,,,10.143,,24.7045454545455,25.8863636363636,24.0681818181818,24.5,13.4,90.6190476190476,34.091,74.477,45.774,9.818,29.159,33.671,52.365,13.227,18.114,73.024,13.455,26.682,40.136,20.75,17.955,5.932,10.227,3.318,,,,,9.017,
Brisbane,33,6,27,84.7934918648311,18.1818181818182,19.7878787878788,21.9393939393939,19.2121212121212,21.1818181818182,,82.1212121212121,77.5534441805226,86.9147659063625,81.2820512820513,94.331983805668,,30.242,69.545,43.486,7.455,26.515,28.114,48.845,14.182,20.242,70.06,11.515,26.636,38.152,17.515,17.545,6.879,13.97,3.212,,,,,,12.707,,25.5151515151515,25.2424242424242,23.6363636363636,22.4545454545455,,96.8484848484848,35.394,72.515,48.809,9.545,28.364,33.654,55.391,16.515,21.424,77.086,11.727,29.939,41.667,22.818,16.727,8.212,11.182,3.364,,,,,9.644,
Cairns,33,9,24,86.2241703193488,27.2727272727273,22.3636363636364,21.3636363636364,19.4848484848485,19.5757575757576,11,83.4545454545455,99.7297297297297,85.0422195416164,77.9393939393939,83.1402831402831,95.6521739130435,29.576,66.939,44.183,10,29.879,33.469,51.652,14.303,18.879,75.762,9.121,28.455,37.576,19,16.424,3.727,12.97,3.758,,,,,,12.097,,22.4242424242424,25.1212121212121,25,23.5454545454545,11.5,96.7878787878788,35.788,76.485,46.791,8.636,27.758,31.114,52.437,16.576,22.03,75.241,14.061,29.727,43.788,19.667,16.636,7.697,7.788,3.242,,,,,6.854,
Illawarra,33,13,20,95.9126365054602,39.3939393939394,25.4117647058824,24.9117647058824,23.7352941176471,24.3823529411765,13.5,93.1515151515152,102.491103202847,94.7427293064877,98.1751824817518,93.6723163841808,79.4117647058823,34.853,74.206,46.968,8.853,26.206,33.782,52.933,14.794,19.676,75.187,12.912,31.912,44.824,20.471,17.794,5.853,13.971,4.559,,,,,,11.91,,24.7941176470588,26.2941176470588,24.1764705882353,26.0294117647059,17,97.1212121212121,34.176,77.088,44.334,10.912,32.324,33.758,51.412,17.676,23.294,75.884,12.882,28.147,41.029,20.824,16.324,7.941,10.176,3.353,,,,,8.6,
Melbourne,35,21,14,104.302477183833,60,25.4722222222222,24.3888888888889,21.3888888888889,24.4722222222222,6,91.4285714285714,100.548245614035,108.798017348203,94.017094017094,111.378002528445,44.4444444444444,32.306,74.278,43.493,9.639,30.278,31.835,49.981,17.028,22.361,76.149,14.083,28.722,42.806,18.694,17.75,7.5,11.75,3.944,,,,,,10.257,,25.3333333333333,22.4166666666667,22.75,21.9722222222222,13.5,87.6571428571429,31.222,69.417,44.978,9,25.833,34.839,51.461,16.444,22.444,73.267,11.611,29.278,40.889,17.694,17.694,6.444,13.194,4.861,,,,,11.975,
New Zealand,34,14,20,98.9889415481832,41.1764705882353,22.9411764705882,23.6764705882353,22.8529411764706,21.8823529411765,13.5,92.1470588235294,102.766798418972,100.750938673342,96.4019851116625,96.248382923674,96.4285714285714,34.824,74.588,46.688,8.588,27.441,31.297,52.445,13.912,19.382,71.775,12.647,28.382,41.029,18.912,17.735,7.353,11.441,3.029,,,,,,10.083,,22.3235294117647,23.5,23.7058823529412,22.7352941176471,14,93.0882352941177,33.471,71.882,46.563,10.147,31.029,32.701,53.621,16,21.588,74.114,11.706,29.441,41.147,20.147,16.471,6.147,12,3.853,,,,,10.57,
Perth,37,22,15,104.407200496586,59.4594594594595,27.0769230769231,23.8717948717949,24.5641025641026,24.1282051282051,,90.9189189189189,107.975460122699,91.99604743083,104.585152838428,100.106382978723,,32.026,70.41,45.484,9.103,28.282,32.185,51.948,17.564,23.385,75.11,12.821,30.256,43.077,17.513,15.179,5.872,11.359,3.692,,,,,,10.367,,25.0769230769231,25.9487179487179,23.4871794871795,24.1025641025641,,87.0810810810811,32.667,74.769,43.69,9.795,29.795,32.874,50.24,12.821,17.718,72.359,13.333,27.744,41.077,18.385,18.385,6.718,10.308,2.974,,,,,9.265,
South East Melbourne,37,24,13,107.805724197745,64.8648648648649,27.4358974358974,28.2564102564103,27.7179487179487,27.2564102564103,17,100.783783783784,97.6277372262774,109.433962264151,116.236559139785,105.771144278607,125.925925925926,36.231,81.846,44.267,12.487,36.333,34.368,51.895,15.974,20.538,77.778,16.077,25.128,41.205,22.205,20.615,9.359,9.513,3.154,,,,,,7.759,,28.1025641025641,25.8205128205128,23.8461538461538,25.7692307692308,13.5,93.4864864864865,32.667,66.974,48.775,8.615,24.205,35.593,55.207,19.923,25.821,77.16,11.641,30.718,42.359,19.103,17.154,5.205,16.718,3.744,,,,,14.645,
Sydney,40,29,11,113.64544675992,72.5,28.452380952381,28.1190476190476,26.9285714285714,25.6666666666667,12.6666666666667,99.525,108.14479638009,123.664921465969,120.96256684492,113.713080168776,237.5,36.619,74.357,49.248,10.952,29.714,36.859,56.612,15.69,21.524,72.898,11.905,30.524,42.429,21.619,16.167,6.095,9.286,3.857,,,,,,8.093,,26.3095238095238,22.7380952380952,22.2619047619048,22.5714285714286,5.33333333333333,87.575,31.333,73.262,42.769,10.595,33.357,31.763,50,13.762,18.167,75.754,12.905,28.381,41.286,19.095,17.381,5.048,12.357,2.976,,,,,10.964,
Tasmania,34,14,20,99.1571139581929,41.1764705882353,21.4411764705882,22.2941176470588,21,21.2352941176471,9,86.5,94.921875,98.9556135770235,99.0291262135922,104.789550072569,81.8181818181818,31.529,70.676,44.611,8.441,26.059,32.393,50.583,15,20.618,72.753,12.735,28.706,41.441,17.235,17.176,5.676,10.5,2.941,,,,,,9.769,,22.5882352941176,22.5294117647059,21.2058823529412,20.2647058823529,11,87.2352941176471,31.794,71.118,44.706,9.206,28,32.878,51.179,14.441,19.412,74.394,12.471,28.5,40.971,17.471,17.235,6.059,10.588,4.118,,,,,9.83,
